invariantSpecification,description,generatedAtTime,identifier,invalidatedAtTime,title,definedIn_identifier,models_identifier,dataInsertedBy_identifier,wasAttributedTo_identifier,wasDerivedFrom_identifier,wasGeneratedBy_identifier,wasImpactedBy_identifier,wasRevisionOf_identifier
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_24,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_25,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_26,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_27,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_28,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_29,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_30,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_31,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_32,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_33,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_34,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_35,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_36,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_37,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_38,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_39,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_40,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_41,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_42,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_43,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_44,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_45,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_46,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_47,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_48,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_49,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_50,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_51,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_52,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_53,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_54,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_55,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_56,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_57,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_58,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_59,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_60,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_61,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_62,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_63,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_64,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_65,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_66,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_67,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_68,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_69,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_70,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_71,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_72,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_73,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_74,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_75,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_76,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_77,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_78,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_79,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_80,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_81,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_82,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_83,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_84,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_85,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_86,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_87,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_88,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_89,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_90,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_91,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_92,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_93,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_94,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_95,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_96,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_97,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_98,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_99,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_100,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_101,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_102,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_103,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_104,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_105,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_106,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_107,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_108,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_109,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_110,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_111,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_112,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_113,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_114,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_115,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_116,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_117,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_118,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_119,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_120,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_121,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_122,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_123,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_124,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_125,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_126,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_127,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_128,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_129,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_130,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_131,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_132,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_133,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_134,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_135,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_136,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_137,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_138,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_139,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_140,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_141,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_142,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_143,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_144,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_145,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_146,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_147,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_148,,Like program invariant specification,,,,,,,,
com.foo.RegressionTest0.debug == orig(com.foo.RegressionTest0.debug),Daikon version 5.8.8 invariant spec,,LIKELY_INVARIANT_SPEC_149,,Like program invariant specification,,,,,,,,
